	id	corpus	sentence	token	complexity	class	ppl_aspect_only
0	3S37Y8CWI80N8KVM53U4E6JKCDC4WE	bible	but the seventh day is a Sabbath to Yahweh your God, in which you shall not do any work, you, nor your son, nor your daughter, nor your male servant, nor your female servant, nor your ox, nor your donkey, nor any of your livestock, nor your stranger who is within your gates; that your male servant and your female servant may rest as well as you.	seventh day	0.02777777777777779	1	20649.802734375
1	3WGCNLZJKF877FYC1Q6COKNWTDWD11	bible	But let each man test his own work, and then he will take pride in himself and not in his neighbor.	own work	0.04999999999999999	1	2.355492353439331
2	3UOMW19E6D6WQ5TH2HDD74IVKTP5CB	bible	To him who by understanding made the heavens; for his loving kindness endures forever:	loving kindness	0.04999999999999999	1	1006.6525268554688
3	36JW4WBR06KF9AXMUL4N476OMF8FHD	bible	Remember to me, my God, this also, and spare me according to the greatness of your loving kindness.	loving kindness	0.04999999999999999	1	10.43789291381836
4	3HRWUH63QU2FH9Q8R7MRNFC7JX2N5A	bible	Because your loving kindness is better than life, my lips shall praise you.	loving kindness	0.07500000000000001	1	59279.72265625
5	3TRB893CSJAOULN5SWOTVFH69RC7G2	bible	To him who led his people through the wilderness; for his loving kindness endures forever:	loving kindness	0.18333333333333326	1	2165.808837890625
6	3JUDR1D0D6R8L9KDPGCAT2404YYQ2Z	bible	Yahweh takes pleasure in those who fear him, in those who hope in his loving kindness.	loving kindness	0.2333333333333333	2	4111.66259765625
7	3RHLQY6EDT4OZEVVO8PEMIUZ5X6D4E	bible	Jahath was the chief, and Zizah the second: but Jeush and Beriah didn't have many sons; therefore they became a fathers' house in one reckoning.	many sons	0.04999999999999999	1	164.4273681640625
8	32XN26MTXZJQY21MIO00TSCRXUS0L1	bible	You see and hear, that not at Ephesus alone, but almost throughout all Asia, this Paul has persuaded and turned away many people, saying that they are no gods, that are made with hands.	many people	0.04999999999999999	1	10.84986686706543
9	3T8DUCXY0N6WD9X4RTLK8UN1UB89TP	bible	Then all the children of Israel returned, every man to his possession, into their own cities.	own cities	0.05555555555555558	1	1.8856685161590576
10	3WJGKMRWVI9RUI8AHNVW5G6NXANDCR	bible	So on the next day, when Agrippa and Bernice had come with great pomp, and they had entered into the place of hearing with the commanding officers and principal men of the city, at the command of Festus, Paul was brought in.	next day	0.07500000000000001	1	123.69497680664062
11	3P4ZBJFX2V3X60SBPKQN5AGB13KFWC	bible	It happened in the six hundred first year, in the first month, the first day of the month, the waters were dried up from the earth.	first month	0.07500000000000001	1	1164.893798828125
12	3YO4AH2FPDK1PZHZAT8WAEBL70F0QQ	bible	Consider her palaces, that you may tell it to the next generation.	next generation	0.07500000000000001	1	942.0799560546875
13	3ZXNP4Z39RL4GD163NL987ME58Y7L8	bible	"Yahweh said to me, ""Take a large tablet, and write on it with a man's pen, 'For Maher Shalal Hash Baz; '"	large tablet	0.07500000000000001	1	317.168701171875
14	3VMHWJRYHVGCV0X1ZPM97TUIA5QXFN	bible	"Send them away, that they may go into the surrounding country and villages, and buy themselves bread, for they have nothing to eat."""	surrounding country	0.08333333333333331	1	3818.346923828125
15	38VTL6WC4AD9T8UMY9V24VAENH6Y5B	bible	"Yahweh said to Abraham, ""Why did Sarah laugh, saying, 'Will I really bear a child, yet I am old?'"	Sarah laugh	0.09999999999999998	1	870.7307739257812
16	3ODOP6T3ASK1W4XFRJ5XQZ3V86G42V	bible	I have spread my couch with carpets of tapestry, with striped cloths of the yarn of Egypt.	striped cloths	0.09999999999999998	1	6201.96923828125
17	38Z7YZ2SB32CWUYFEJX2GIBHTUVIQ2	bible	For they indeed, for a few days, punished us as seemed good to them; but he for our profit, that we may be partakers of his holiness.	few days	0.1111111111111111	1	56.08138656616211
18	3J5XXLQDHMBPBZCDFFKPIZ80R4D3VH	bible	He set the Levites in the house of Yahweh with cymbals, with stringed instruments, and with harps, according to the commandment of David, and of Gad the king's seer, and Nathan the prophet; for the commandment was of Yahweh by his prophets.	stringed instruments	0.1111111111111111	1	31.78439712524414
19	37Y5RYYI0P5LZ52N59M8ESDXZVKXS6	bible	They came to Jerusalem with stringed instruments and harps and trumpets to the house of Yahweh.	stringed instruments	0.18333333333333326	1	817.3065185546875
20	38RHULDV9YFHGRU1QSW887T3HVCIW6	bible	On stringed instruments.	stringed instruments	0.25	2	9808.005859375
21	304QEQWKZPKY4N4JVGGSL9GLSZX0OI	bible	<<For the Chief Musician; on stringed instruments.	stringed instruments	0.2666666666666667	2	371.0907897949219
22	36QZ6V1589DTI18S04BLULET5D3SU9	bible	Ezra the priest, with certain heads of fathers' households, after their fathers' houses, and all of them by their names, were set apart; and they sat down in the first day of the tenth month to examine the matter.	first day	0.11666666666666665	1	109.24072265625
23	36BTXXLZ2V8I0OE069KYR7B3KYX4RB	bible	He has filled them with wisdom of heart, to work all kinds of workmanship, of the engraver, of the skillful workman, and of the embroiderer, in blue, in purple, in scarlet, and in fine linen, and of the weaver, even of those who do any workmanship, and of those who make skillful works.	skillful works	0.125	1	107.56592559814453
24	3FI30CQHVKJ9Z41PT0RNOQQDY3Z6BK	bible	Then Saul took three thousand chosen men out of all Israel, and went to seek David and his men on the rocks of the wild goats.	wild goats	0.125	1	22408.39453125
25	34F34TZU7WZRZMG0UQS1W1SEQ36J21	bible	Ostriches will dwell there, and wild goats will frolic there.	wild goats	0.22058823529411764	2	217.2857208251953
26	3SCKNODZ0XGU4D4RF01OLZQ3A3XN7P	bible	or a man who has an injured foot, or an injured hand,	injured foot	0.13333333333333336	1	2734.004638671875
27	3UUSLRKAUL3LI1DEQ6NLPUE9WZWD7Y	bible	his body also was like the beryl, and his face as the appearance of lightning, and his eyes as flaming torches, and his arms and his feet like burnished brass, and the voice of his words like the voice of a multitude.	flaming torches	0.1388888888888889	1	167.8533477783203
28	35U0MRQMUJ7EXO5ZYD4H626BMV9VO4	bible	We would have healed Babylon, but she is not healed: forsake her, and let us go everyone into his own country; for her judgment reaches to heaven, and is lifted up even to the skies.	own country	0.14285714285714285	1	1.3052899837493896
29	36818Z1KV3D5JB9F4KTTMCUN6UDA3O	bible	Therefore as the tongue of fire devours the stubble, and as the dry grass sinks down in the flame, so their root shall be as rottenness, and their blossom shall go up as dust; because they have rejected the law of Yahweh of Armies, and despised the word of the Holy One of Israel.	dry grass	0.15000000000000002	1	199.0514678955078
30	3WPCIUYH1A88GZAL39QMUQ6RLWMDT9	bible	They brought seven bulls, and seven rams, and seven lambs, and seven male goats, for a sin offering for the kingdom and for the sanctuary and for Judah.	male goats	0.15000000000000002	1	188.9398651123047
31	37VE3DA4YUHPWTL6PJIRLHF37HFBHQ	bible	and he appointed him priests for the high places, and for the male goats, and for the calves which he had made.	male goats	0.225	2	3832.25341796875
32	3YD0MU1NC21NKUA26WWJZT63BWZ7AQ	bible	The mouth of an adulteress is a deep pit: he who is under Yahweh's wrath will fall into it.	deep pit	0.15000000000000002	1	115.51276397705078
33	3VMHWJRYHVGCV0X1ZPM97TUIA5QFX5	bible	Having been made perfect, he became to all of those who obey him the author of eternal salvation,	eternal salvation	0.15000000000000002	1	21.37593650817871
34	3SD15I2WD2U4W9XCE7CH67S1ABN36R	bible	He seeks a skillful workman to set up an engraved image for him that will not be moved.	skillful workman	0.15000000000000002	1	308.06182861328125
35	367O8HRHKG8U13EDLYK3HHGZ60G4SZ	bible	They beat the gold into thin plates, and cut it into wires, to work it in the blue, in the purple, in the scarlet, and in the fine linen, the work of the skillful workman.	skillful workman	0.21666666666666667	2	36.18037033081055
36	3XUSYT70IT170QDU572CAF4MOLQ0DL	bible	He made it the work of a skillful workman.	skillful workman	0.2777777777777778	2	123.24222564697266
37	3PA41K45VN4U7YG4VFEGPOVYAIZ7P6	bible	The work of the skillful workman you shall make them.	skillful workman	0.2857142857142857	2	289.5790710449219
38	3URJ6VVYUPNF3BMKEH3UXC6Y9BD4O2	bible	He made the breastplate, the work of a skillful workman, like the work of the ephod; of gold, of blue, purple, scarlet, and fine twined linen.	skillful workman	0.3214285714285714	2	25.995851516723633
39	3HUR21WDDUPIVREW4FEXWE1YGGGXYK	bible	saying, 'Woe, woe, the great city, she who was dressed in fine linen, purple, and scarlet, and decked with gold and precious stones and pearls!	precious stones	0.15000000000000002	1	5.274361610412598
40	3DQYSJDTYLBKPMX54E23PB9IY4BXE5	bible	But everyone shall die for his own iniquity: every man who eats the sour grapes, his teeth shall be set on edge.	sour grapes	0.15000000000000002	1	4430.33203125
41	3BFNCI9LYKQN09BHXHH9CLSX5M737Q	bible	What do you mean, that you use this proverb concerning the land of Israel, saying, The fathers have eaten sour grapes, and the children's teeth are set on edge?	sour grapes	0.2142857142857143	2	4.216639518737793
42	3L4YG5VW9NS1ZAEOHJQ7PMO5IAZDDR	bible	Have I brought them forth, that you should tell me, 'Carry them in your bosom, as a nurse carries a nursing infant, to the land which you swore to their fathers?'	nursing infant	0.15000000000000002	1	308.1552429199219
43	3I7SHAD35MWOMVJR3ZMO8K135DO7MA	bible	"But Yahweh said to Samuel, ""Don't look on his face, or on the height of his stature; because I have rejected him: for I see not as man sees; for man looks at the outward appearance, but Yahweh looks at the heart."""	outward appearance	0.15000000000000002	1	1.231453537940979
44	3QGHA0EA0J07TJGVKI4RMKPQM5SBWQ	bible	You shall tell them, 'This is the offering made by fire which you shall offer to Yahweh: male lambs a year old without blemish, two day by day, for a continual burnt offering.	male lambs	0.16176470588235292	1	1357.2498779296875
45	3TC2K6WK9G22F5KH3MVA7BJ0ASD827	bible	"""'In the beginnings of your months you shall offer a burnt offering to Yahweh: two young bulls, and one ram, seven male lambs a year old without blemish;"	male lambs	0.2333333333333333	2	103.28135681152344
46	3SZYX62S5G0QEOYLB052RIQHJIY57I	bible	"You shall tread on their high places."""	high places	0.16249999999999998	1	1268.3275146484375
47	37S0QRNUFBGD1KM6J34BH2W3WS588A	bible	one male goat, to make atonement for you.	male goat	0.16666666666666669	1	9918.849609375
48	3UDTAB6HH6ZVX00DTRXAOJLWX0A90C	bible	They shall build the old wastes, they shall raise up the former desolations, and they shall repair the waste cities, the desolations of many generations.	many generations	0.16666666666666669	1	912.2687377929688
49	3Z56AA6EK405IV5MKPHW2617A236M9	bible	It happened, before Isaiah had gone out into the middle part of the city, that the word of Yahweh came to him, saying,	middle part	0.16666666666666669	1	392.08941650390625
50	386659BNTLHD8VXIPEIH9D3DZON10W	bible	Yahweh has accomplished his wrath, he has poured out his fierce anger; He has kindled a fire in Zion, which has devoured its foundations.	fierce anger	0.16666666666666669	1	1732.747802734375
51	30UZJB2POHC8D5XY9O2CE1E1EGC53D	bible	My people, go away from the midst of her, and save yourselves every man from the fierce anger of Yahweh.	fierce anger	0.1923076923076923	1	843.9271850585938
52	3I6NF2WGIGW97H9M439WXV3AILH5GL	bible	Now it is in my heart to make a covenant with Yahweh, the God of Israel, that his fierce anger may turn away from us.	fierce anger	0.2631578947368421	2	2424.719970703125
53	3B9J25CZ25DXW7RSEDQL0FSNYDXCSK	bible	So Jonathan arose from the table in fierce anger, and ate no food the second day of the month; for he was grieved for David, because his father had done him shame.	fierce anger	0.44318181818181823	3	7284.59765625
54	3JUDR1D0D6R8L9KDPGCAT2404YZ2QC	bible	Because indeed a notable miracle has been done through them, as can be plainly seen by all who dwell in Jerusalem, and we can't deny it.	notable miracle	0.175	1	7163.67626953125
55	35YHTYFL1G3KRBS6ZALRJ8XXUUJFV3	bible	"neither will I cause the feet of Israel to wander any more out of the land which I gave their fathers, if only they will observe to do according to all that I have commanded them, and according to all the law that my servant Moses commanded them."""	servant Moses	0.175	1	2.9548697471618652
56	3S4TINXCC0NZOA7TTWDH5QC4J3TBOE	bible	Israel saw the great work which Yahweh did to the Egyptians, and the people feared Yahweh; and they believed in Yahweh, and in his servant Moses.	servant Moses	0.25	2	86.16228485107422
57	3PZDSVZ3J5HXLQM8D23HIN6TJ17N45	bible	"If you forsake Yahweh, and serve foreign gods, then he will turn and do you evil, and consume you, after he has done you good."""	foreign gods	0.175	1	6385.41162109375
58	3J6BHNX0U9SIZSBBYUQXP4VPGNXNKV	bible	who struck many nations, and killed mighty kings,	mighty kings	0.18333333333333326	1	3019.357177734375
59	3KI0JD2ZU1IMXSYZGJF7JO4HFD867Y	bible	Who shall deliver us out of the hand of these mighty gods?	mighty gods	0.1842105263157895	1	202.58511352539062
60	34R0BODSP1ZBN3DVY8J8XSIY5525E4	bible	Let another man praise you, and not your own mouth; a stranger, and not your own lips.	own lips	0.19117647058823528	1	5.007739067077637
61	3PMR2DOWOO1TV1G2927VO667SG854Y	bible	Behold, I give the oxen for burnt offerings, and the threshing instruments for wood, and the wheat for the meal offering.	meal offering	0.1923076923076923	1	124.97086334228516
62	30F94FBDNRKF12C1PDZGZ0IRIBABT0	bible	with the tenth part of an ephah of fine flour for a meal offering, mixed with the fourth part of a hin of beaten oil.	meal offering	0.29166666666666663	2	23.002119064331055
63	3Z8UJEJOCZDRESZACEFTQHJ30CU937	bible	gave his offering: one silver platter, the weight of which was one hundred thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mixed with oil for a meal offering;	meal offering	0.3611111111111112	2	15.815582275390625
64	37VUR2VJ6APX2NSY1UB14E5E8DJ1CO	bible	But when Ahaziah the king of Judah saw this, he fled by the way of the garden house.	garden house	0.1944444444444444	1	1469.293212890625
65	3VDI8GSXAFTSUZSO21GZ9FD1KBI8GQ	bible	We heard this voice come out of heaven when we were with him on the holy mountain.	holy mountain	0.1944444444444444	1	44.740150451660156
66	3ZLW647WALVGE8EBR50EGUBPU6L32A	bible	You were the anointed cherub who covers: and I set you, [so that] you were on the holy mountain of God; you have walked up and down in the midst of the stones of fire.	holy mountain	0.25	2	7.020752429962158
67	3XEDXEGFX3OFEWJ4XOOZESZC8UN0KY	bible	As a roaring lion or a charging bear, so is a wicked ruler over helpless people.	wicked ruler	0.19642857142857145	1	4090.96044921875
68	3GKAWYFRAPTAO7HEMSH2PG5UWT1DP4	bible	"Turn again your hand as a grape gatherer into the baskets."""	grape gatherer	0.2	1	1040271.125
69	3ZG552ORAM40QHGUBF6KZP38LQE2V6	bible	It came to pass that, when the sun went down, and it was dark, behold, a smoking furnace, and a flaming torch passed between these pieces.	flaming torch	0.2	1	67.3418960571289
70	33TGB4G0LPHME5F2U9RYOX9J1EYXTV	bible	In that day I will make the chieftains of Judah like a pan of fire among wood, and like a flaming torch among sheaves; and they will devour all the surrounding peoples, on the right hand and on the left; and Jerusalem will yet again dwell in their own place, even in Jerusalem.	flaming torch	0.30000000000000004	2	36.92795181274414
71	338GLSUI43B4ZJB25FGM8LDQVQPFSY	bible	Deliver my soul from the sword, my precious life from the power of the dog.	precious life	0.2	1	392.3215026855469
72	35YHTYFL1G3KRBS6ZALRJ8XXUUIVFI	bible	Then he said to me, These waters issue forth toward the eastern region, and shall go down into the Arabah; and they shall go toward the sea; into the sea [shall the waters go] which were made to issue forth; and the waters shall be healed.	eastern region	0.2	1	361.7958068847656
73	33BFF6QPI1B2QOCI5PPL41REYDF3WR	bible	She teaches and seduces my servants to commit sexual immorality, and to eat things sacrificed to idols.	sexual immorality	0.2	1	95.98141479492188
74	30EV7DWJTVV5CCU03S57W1OEJCHY6R	bible	The kings of the earth, who committed sexual immorality and lived wantonly with her, will weep and wail over her, when they look at the smoke of her burning,	sexual immorality	0.25	2	339.2707214355469
75	3DA79LNS59VAY78OAKKAHHKFUJX3T1	bible	being filled with all unrighteousness, sexual immorality, wickedness, covetousness, malice; full of envy, murder, strife, deceit, evil habits, secret slanderers,	sexual immorality	0.2894736842105263	2	450.47064208984375
76	34O39PNDK682LNZ9LOULZLH9UQDBRN	bible	I gave her time to repent, but she refuses to repent of her sexual immorality.	sexual immorality	0.325	2	194.30955505371094
77	3ABAOCJ4R84YSDO6ZYVU8BIYA3FQMQ	bible	but I tell you that whoever puts away his wife, except for the cause of sexual immorality, makes her an adulteress; and whoever marries her when she is put away commits adultery.	sexual immorality	0.33333333333333337	2	88.19134521484375
78	3GV1I4SEO9PLCDN1KDGH2TMIAXD6L7	bible	Therefore their way shall be to them as slippery places in the darkness: they shall be driven on, and fall therein; for I will bring evil on them, even the year of their visitation, says Yahweh.	slippery places	0.2	1	13452.341796875
79	3MYASTQBG7BVOJITM5WRPLV41PNDQV	bible	There is no other god.	other god	0.2	1	79.38705444335938
80	3TLFH2L6Y9OLDPC56K65Y7FNO5XT2G	bible	"""'Or if anyone touches any unclean thing, whether it is the carcass of an unclean animal, or the carcass of unclean livestock, or the carcass of unclean creeping things, and it is hidden from him, and he is unclean, then he shall be guilty."	unclean livestock	0.2	1	131.37840270996094
81	33EEIIWHK77HI0IFDQWLV71B1WRVQC	bible	"The right hand of Yahweh does valiantly!"""	right hand	0.2023809523809524	2	641.4246826171875
82	3GV1I4SEO9PLCDN1KDGH2TMIAXDL6M	bible	For David says concerning him, 'I saw the Lord always before my face, For he is on my right hand, that I should not be moved.	right hand	0.29166666666666663	2	1.07902193069458
83	32XN26MTXZJQY21MIO00TSCRXURL0L	bible	Don't turn from it to the right hand or to the left, that you may have good success wherever you go.	right hand	0.3970588235294118	2	66.43856048583984
84	3D42WVSDH8V1V5NB4L8BQ71RCBKYFU	bible	the great trials which your eyes saw, the signs, and those great wonders:	great wonders	0.2083333333333333	2	1314.47900390625
85	3JMQI2OLFZ5ALM516D4ALR0ZWE0DN8	bible	For all the armor of the armed man in the noisy battle, and the garments rolled in blood, will be for burning, fuel for the fire.	noisy battle	0.21052631578947367	2	80939.8984375
86	39XCQ6V3KY47AOKGSQ0AL4QLO7E56J	bible	The honorable man, he lived in it.	honorable man	0.21052631578947367	2	148947.375
87	31GECDVA9JM3TSKUX9AFDA4LK2O66Z	bible	The poor person is shunned even by his own neighbor, but the rich person has many friends.	many friends	0.21052631578947367	2	86.01356506347656
88	3ZG552ORAM40QHGUBF6KZP38LQDV2Y	bible	For you have struck all of my enemies on the cheek bone.	cheek bone	0.2115384615384616	2	18.193756103515625
89	3CKVGCS3PG5D2FWC2XX15EQMPO00SF	bible	gave his offering: one silver platter, the weight of which was one hundred thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mixed with oil for a meal offering;	silver bowl	0.2125	2	561.3087768554688
90	3X0EMNLXEPPWIOH0DDHWV2B1W05VPL	bible	As an offering of firstfruits you shall offer them to Yahweh: but they shall not ascend for a pleasant aroma on the altar.	pleasant aroma	0.2125	2	16372.19140625
91	3X2LT8FDHWIORLIOH6KHVIZPEZ78WO	bible	It is a burnt offering, an offering made by fire, of a pleasant aroma to Yahweh.	pleasant aroma	0.225	2	1291.8975830078125
92	3ULIZ0H1VA5C32JJMKOTQ8Z4GWY51L	bible	You shall offer the meal offering in baked pieces for a pleasant aroma to Yahweh.	pleasant aroma	0.23214285714285715	2	1614.520263671875
93	39KV3A5D187RKQWWNWIAKT09X267SM	bible	"""'All who are native-born shall do these things in this way, in offering an offering made by fire, of a pleasant aroma to Yahweh."	pleasant aroma	0.25	2	407.8363952636719
94	37MQ8Z1JQEWHUBBZGQT46O7237G2YF	bible	As a pleasant aroma will I accept you, when I bring you out from the peoples, and gather you out of the countries in which you have been scattered; and I will be sanctified in you in the sight of the nations.	pleasant aroma	0.2727272727272727	2	38690.8828125
95	356ZPKYPUHHDMIC5IO4G21FVEH7PYO	bible	brought beds, basins, earthen vessels, wheat, barley, meal, parched grain, beans, lentils, roasted grain,	roasted grain	0.2142857142857143	2	5315.4755859375
96	3XQ4XW3OD9CKYPZQHK1FO2J1MMK2S1	bible	It happened on the next day, that Moses went into the tent of the testimony; and behold, the rod of Aaron for the house of Levi was budded, and put forth buds, and produced blossoms, and bore ripe almonds.	ripe almonds	0.21666666666666667	2	1008.7648315429688
97	3UUSLRKAUL3LI1DEQ6NLPUE9WZW7DS	bible	By the border of Benjamin, from the east side to the west side, Simeon, one [portion].	west side	0.21666666666666667	2	1.8896607160568237
98	3E22YV8GG16JAJ8RBMV5LLHOAX3NPW	bible	God made the two great lights: the greater light to rule the day, and the lesser light to rule the night.	great lights	0.2222222222222222	2	27.53999900817871
99	3P888QFVX3UMSG9ICEA70F7353UQO5	bible	"""Surely not one of these men of this evil generation shall see the good land, which I swore to give to your fathers,"	evil generation	0.2222222222222222	2	1526.703125
100	3ZUE82NE0A1MGZWTRHAHRUDPJWI8FR	bible	He built towers in the wilderness, and dug out many cisterns, for he had much livestock; in the lowland also, and in the plain: and he had farmers and vineyard keepers in the mountains and in the fruitful fields; for he loved farming.	fruitful fields	0.2222222222222222	2	7525.166015625
101	35A1YQPVFEGN38FHUR9ZI7GQXY9I5Q	bible	A wicked messenger falls into trouble, but a trustworthy envoy gains healing.	wicked messenger	0.22368421052631576	2	66474.53125
102	324N5FAHSXBV7XKK0LCOZLP22QZKV9	bible	"Saul said to him, ""Whose son are you, you young man?"""	young man	0.22368421052631576	2	283.4689025878906
103	3AJA9FLWSCYF558603M84J73MSMIF8	bible	Don't you be like your fathers, to whom the former prophets proclaimed, saying: Thus says Yahweh of Armies, 'Return now from your evil ways, and from your evil doings;' but they did not hear, nor listen to me, says Yahweh.	evil doings	0.22368421052631576	2	39.677886962890625
104	39XCQ6V3KY47AOKGSQ0AL4QLO7D65J	bible	>> Make a joyful shout to God, all the earth!	joyful shout	0.22368421052631576	2	85819.0078125
105	3M47JKRKCX1QX63IQO7DXO0CQXE68L	bible	"The commanding officer answered, ""I bought my citizenship for a great price."""	commanding officer	0.225	2	92146.9609375
106	3CO05SML7V5110WZN8XWF4LQ3MH0RR	bible	kill utterly the old man, the young man and the virgin, and little children and women; but don't come near any man on whom is the mark: and begin at my sanctuary.	little children	0.225	2	5483.876953125
107	3VP28W7DUNK10VXG07AU4EATI5PFZ3	bible	and a tenth part of fine flour mixed with oil for a meal offering to every lamb; for a burnt offering of a pleasant aroma, an offering made by fire to Yahweh.	burnt offering	0.225	2	41.87157440185547
108	3LOJFQ4BOXF9DGKY90CUTZJV2JWDK4	bible	He shall flay the burnt offering, and cut it into pieces.	burnt offering	0.3611111111111112	2	181.3341064453125
109	3I6NF2WGIGW97H9M439WXV3AILHG5W	bible	The priest shall burn the whole on the altar, for a burnt offering, an offering made by fire, of a pleasant aroma to Yahweh.	burnt offering	0.3888888888888888	2	4.5674824714660645
110	302OLP89DZ7TWB5YXD4UFFYHC7QACM	bible	He washed the innards and the legs, and burned them on the burnt offering on the altar.	burnt offering	0.4027777777777778	3	1957.2340087890625
111	3E9ZFLPWOYSW5RZR0XSUAQ7AQXIIXZ	bible	The burnt offering that the prince shall offer to Yahweh shall be on the Sabbath day six lambs without blemish and a ram without blemish;	burnt offering	0.4305555555555556	3	233211.53125
