	id	corpus	sentence	token	complexity	class	ppl
218	3UUSLRKAUL3LI1DEQ6NLPUE9WZQD7S	bible	Haman recounted to them the glory of his riches, the multitude of his children, all the things in which the king had promoted him, and how he had advanced him above the princes and servants of the king.	servants	0.1764705882352941	1	23.640029907226562
877	3VDI8GSXAFTSUZSO21GZ9FD1KBC8GK	bible	"As they were making their hearts merry, behold, the men of the city, certain base fellows, surrounded the house, beating at the door; and they spoke to the master of the house, the old man, saying, ""Bring out the man who came into your house, that we may have sex with him!"""	hearts	0.19117647058823528	1	10.992281913757324
415	344M16OZKIFFDSJ128FUR9IKWQ1EN2	bible	How much better it is to get wisdom than gold!	wisdom	0.14285714285714285	1	43.663795471191406
309	39XCQ6V3KY47AOKGSQ0AL4QLO7856D	bible	The sun will be darkened in its going forth, and the moon will not cause its light to shine.	light	0.18181818181818185	1	18.829370498657227
502	3S8APUMBJXJ5IXU0UTURIW3QR0XFBN	bible	being approved by good works, if she has brought up children, if she has been hospitable to strangers, if she has washed the saints' feet, if she has relieved the afflicted, and if she has diligently followed every good work.	strangers	0.13235294117647056	1	11.004334449768066
1010	39O6Z4JLX2X1RXJRZ4RDPFX4YZEVX9	bible	How long will you assault a man, would all of you throw him down, Like a leaning wall, like a tottering fence?	assault	0.1944444444444444	1	82.95167541503906
147	382GHPVPHSRQHMTYVJJ2998NEKB431	bible	which has come to you; even as it is in all the world and is bearing fruit and growing, as it does in you also, since the day you heard and knew the grace of God in truth;	truth	0.06944444444444442	1	24.64597511291504
375	3NKW03WTLM7UXPIK301HH9KP83GQW0	bible	I will cause them to eat the flesh of their sons and the flesh of their daughters; and they shall eat everyone the flesh of his friend, in the siege and in the distress, with which their enemies, and those who seek their life, shall distress them.	enemies	0.15384615384615385	1	14.007620811462402
751	3ZQX1VYFTD5GMC9MQKT7EOM3BX8O8S	bible	Joshua tore his clothes, and fell to the earth on his face before the ark of Yahweh until the evening, he and the elders of Israel; and they put dust on their heads.	dust	0.16666666666666669	1	14.77318286895752
803	3DA79LNS59VAY78OAKKAHHKFUJS3TW	bible	"Blessed is the man whom the Lord will by no means charge with sin."""	means	0.16666666666666669	1	19.023950576782227
961	3KVQ0UJWPXL543ZMJ8DEJYPYC96W5A	bible	"""'Moreover you shall take no ransom for the life of a murderer who is guilty of death; but he shall surely be put to death."	murderer	0.1875	1	14.790956497192383
2	3S1WOPCJFGTJU2SGNAN2Y213N6WJE3	bible	The man, the lord of the land, said to us, 'By this I will know that you are honest men: leave one of your brothers with me, and take grain for the famine of your houses, and go your way.	brothers	0.04999999999999999	1	19.557668685913086
854	3HXCEECSQMT70MEB5X2ITZH9OGEZYJ	bible	The Egyptians pursued after your fathers with chariots and with horsemen to the Red Sea .	chariots	0.175	1	76.70093536376953
516	3P6ENY9P79WZJ1ZCVTA874JG27UIH1	bible	You had now turned, and had done that which is right in my eyes, in proclaiming liberty every man to his neighbor; and you had made a covenant before me in the house which is called by my name:	neighbor	0.2	1	22.477872848510742
101	3JGHED38EDROGC85M2AZ2FOAENW7YU	bible	There was nothing in the ark except the two tables which Moses put at Horeb, when Yahweh made a covenant with the children of Israel, when they came out of Egypt.	nothing	0.04999999999999999	1	13.991508483886719
256	3VMV5CHJZ8FBSJKC5ZRU0B9OYO2TGZ	bible	If any man thinks himself to be a prophet, or spiritual, let him recognize the things which I write to you, that they are the commandment of the Lord.	things	0.1388888888888889	1	11.539238929748535
702	3TX9T2ZCB913BHJBQWKU82WTD88WZB	bible	The flame burned up the wicked.	flame	0.15625	1	352.8182067871094
1079	3O2Y2UIUCQU6B0YU067KHZMGEU5KFB	bible	Enter into the rock, and hide in the dust, from before the terror of Yahweh, and from the glory of his majesty.	majesty	0.2	1	21.6291446685791
152	3IKMEYR0LWVMA6MICBSDXGSR5Q12KA	bible	"The next day, he saw Jesus coming to him, and said, ""Behold, the Lamb of God, who takes away the sin of the world!"	world	0.140625	1	3.5722291469573975
369	3YD0MU1NC21NKUA26WWJZT63BWT7AK	bible	For they came up with their livestock and their tents; they came in as locusts for multitude; both they and their camels were without number: and they came into the land to destroy it.	number	0.11363636363636365	1	27.199066162109375
311	3J6BHNX0U9SIZSBBYUQXP4VPGNXKNS	bible	God sent an angel to Jerusalem to destroy it.	angel	0.13333333333333336	1	25.038427352905273
414	389A2A304OIXVY7G5B71Q9M43JI0CL	bible	The rod of correction gives wisdom, but a child left to himself causes shame to his mother.	wisdom	0.125	1	65.77019500732422
546	3OB6JN3A9QPY4E36CDKUD1S36PHMRN	bible	But we have this treasure in clay vessels, that the exceeding greatness of the power may be of God, and not from ourselves.	clay	0.16666666666666669	1	48.317176818847656
895	36KM3FWE3RCRJHCKEUZQANUQ28R07S	bible	It binds me about as the collar of my coat.	coat	0.17857142857142855	1	161.1077117919922
602	3GMLHYZ0LEXQENK1ZA3AC72UMYZYUT	bible	Jehoshaphat bowed his head with his face to the ground; and all Judah and the inhabitants of Jerusalem fell down before Yahweh, worshipping Yahweh.	face	0.1527777777777778	1	10.172621726989746
494	36818Z1KV3D5JB9F4KTTMCUN6SVA32	bible	I also gathered silver and gold for myself, and the treasure of kings and of the provinces.	treasure	0.2	1	41.31085968017578
514	3M7OI89LVYOS99TV70NIZAWVGOZC6X	bible	The people will be oppressed, everyone by another, and everyone by his neighbor.	neighbor	0.13461538461538464	1	45.225955963134766
1028	3CZH926SICETRK9VK30YS0CK5714EO	bible	Your riches, and your wares, your merchandise, your mariners, and your pilots, your repairers of ship seams, and the dealers in your merchandise, and all your men of war, who are in you, with all your company which is in the midst of you, shall fall into the heart of the seas in the day of your ruin.	seas	0.2	1	18.470130920410156
816	3EKTG13IZU3N1G8T7TNYRPJ40XSLMW	bible	who before were disobedient, when God waited patiently in the days of Noah, while the ship was being built.	ship	0.16666666666666669	1	30.170528411865234
333	3HEM8MA6H9C4DGLJRENMPFCTF8KQPG	bible	"The king of Israel said to Jehoshaphat, ""There is yet one man by whom we may inquire of Yahweh, Micaiah the son of Imlah; but I hate him; for he does not prophesy good concerning me, but evil."""	king	0.14705882352941174	1	18.366561889648438
446	3RIHDBQ1NEYLFKP3G880ZXQXJGDMHK	bible	This was the length of Sarah's life.	length	0.125	1	50.21602249145508
982	3PA41K45VN4U7YG4VFEGPOVYAIT7P0	bible	"Abraham said to his servant, the elder of his house, who ruled over all that he had, ""Please put your hand under my thigh."	thigh	0.19117647058823528	1	16.71283721923828
87	3P7RGTLO6EDBF9HMPQLS3YBPHEGKAM	bible	but have done evil above all who were before you, and have gone and made you other gods, and molten images, to provoke me to anger, and have cast me behind your back:	images	0.17105263157894735	1	37.99042510986328
1047	3YO4AH2FPDK1PZHZAT8WAEBL7YIQ0F	bible	so that Yahweh could no longer bear, because of the evil of your doings, and because of the abominations which you have committed; therefore your land has become a desolation, and an astonishment, and a curse, without inhabitant, as it is this day.	doings	0.1973684210526316	1	12.818619728088379
19	3ZG552ORAM40QHGUBF6KZP38LOI2V6	bible	"""They shall go forth, and look on the dead bodies of the men who have transgressed against me: for their worm shall not die, neither shall their fire be quenched; and they will be loathsome to all mankind."""	fire	0.05555555555555558	1	5.359892845153809
657	3W3RSPVVGSR6EOD2GVEKIZ0YDHILU7	bible	because of the day that comes to destroy all the Philistines, to cut off from Tyre and Sidon every helper who remains: for Yahweh will destroy the Philistines, the remnant of the isle of Caphtor.	day	0.15000000000000002	1	22.95880699157715
545	3NKW03WTLM7UXPIK301HH9KP85TWQN	bible	But now, Yahweh, you are our Father; we are the clay, and you our potter; and we all are the work of your hand.	clay	0.1388888888888889	1	17.203109741210938
968	3A9LA2FRWSEW9WO7UFA9AE6VQILXHZ	bible	One will say to him, 'What are these wounds between your arms?'	wounds	0.1875	1	31.6448917388916
814	3DWGDA5POF4T1WYYSB66U6T3TK01VO	bible	As for the saints who are in the earth, they are the excellent ones in whom is all my delight.	ones	0.16666666666666669	1	28.481189727783203
619	3WRAAIUSBJZHZ9GTO90HTSJRDP7XA4	bible	He is their help and their shield.	shield	0.15625	1	79.0983657836914
957	3XWUWJ18TLQ9XE0WP96L9MWHQ86UU5	bible	When I break your staff of bread, ten women shall bake your bread in one oven, and they shall deliver your bread again by weight: and you shall eat, and not be satisfied.	oven	0.1875	1	27.487607955932617
664	3NI0WFPPI9G8FHYFVKUY49UU7X706T	bible	Moreover I have seen the oppression with which the Egyptians oppress them.	Egyptians	0.15000000000000002	1	66.61014556884766
841	3DQYSJDTYLBKPMX54E23PB9IY2TXEJ	bible	For as the sufferings of Christ abound to us, even so our comfort also abounds through Christ.	comfort	0.171875	1	36.223663330078125
65	3ACRLU860NEDCJU4ZIAL0EIQF1NEBD	bible	They were like the grass of the field, and like the green herb, like the grass on the housetops, and like a field before its crop has grown.	crop	0.02777777777777779	1	25.193052291870117
607	39WSF6KUV2LXVDJD3NF76YIPM06OER	bible	When men arose early in the morning, behold, these were all dead bodies.	bodies	0.14705882352941174	1	64.85845947265625
529	3XEIP58NL0NN0N7CMIDSZRFDF1AZLR	bible	"Set an ambush for the city behind it."""	ambush	0.1388888888888889	1	185.56776428222656
921	3566S7OX5DJRQ6X2AD3QOSD072N71W	bible	On the second day were gathered together the heads of fathers' households of all the people, the priests, and the Levites, to Ezra the scribe, even to give attention to the words of the law.	households	0.17857142857142855	1	17.203113555908203
53	3S37Y8CWI80N8KVM53U4E6JKCDBW45	bible	You will weep no more.	weep	0.025000000000000026	1	95.14229583740234
257	3IKDQS3DQE082TOW91W7WDM0PDPCII	bible	Say now to the rebellious house, Don't you know what these things mean?	things	0.16666666666666669	1	43.96495819091797
1005	3KQC8JMJGCSKTYHTAQ3L3YHRJP2H35	bible	His sweat became like great drops of blood falling down on the ground.	drops	0.1923076923076923	1	38.65605926513672
9	31J7RYECZLQQ5RM4E7407XV12K1L1O	bible	The sons of Perez: Hezron, and Hamul.	sons	0.1607142857142857	1	194.53262329101562
784	366FYU4PTGPE5MYY5VNEZH1G2VWEKX	bible	you who rejoice in a thing of nothing, who say, 'Haven't we taken for ourselves horns by our own strength?'	strength	0.16666666666666669	1	59.040191650390625
522	371DNNCG442WZ4EUM1F68YSQA5PT8J	bible	Now there were some present at the same time who told him about the Galileans, whose blood Pilate had mixed with their sacrifices.	blood	0.1607142857142857	1	22.792776107788086
76	39N6W9XWRDN795J6F5ET8S13DQEYGN	bible	For every head is bald, and every beard clipped: on all the hands are cuttings, and on the waist sackcloth.	hands	0.19117647058823528	1	43.38047790527344
1081	3421H3BM9AH2Z61ZFZ7G6O0SW7Z9JY	bible	Therefore I will look in triumph at those who hate me.	triumph	0.2	1	60.509037017822266
755	3W9XHF7WGKVGU5GVVQC9Y31H536TKL	bible	"""A Redeemer will come to Zion, and to those who turn from disobedience in Jacob,"" says Yahweh."	disobedience	0.16304347826086954	1	33.07754135131836
295	37VHPF5VYC3FDNCJ0FKGJOSMMJK8CA	bible	"All testified about him, and wondered at the gracious words which proceeded out of his mouth, and they said, ""Isn't this Joseph's son?"""	mouth	0.1375	1	40.794883728027344
73	3ZFRE2BDQ9EI0HO101GGALA0M8OXZB	bible	No one puts a piece of unshrunk cloth on an old garment; for the patch would tear away from the garment, and a worse hole is made.	cloth	0.02777777777777779	1	44.70356750488281
799	30OITAWPBQ368069RZ4VUBKDJHC9HE	bible	"They said to him, ""Please ask counsel of God, that we may know whether our way which we go shall be prosperous."""	counsel	0.16666666666666669	1	32.31658172607422
906	3IJ95K7NDXCDX6FS835IRC3W96BNGN	bible	I gave you your master's house, and your master's wives into your bosom, and gave you the house of Israel and of Judah; and if that would have been too little, I would have added to you many more such things.	wives	0.2	1	15.402652740478516
161	3R5OYNIC2C9H5WDB8IHHUKNGZFPPTZ	bible	There will be a pavilion for a shade in the daytime from the heat, and for a refuge and for a shelter from storm and from rain.	refuge	0.07500000000000001	1	47.108489990234375
879	3TKXBROM5TAVA7U2JTDTJHZVFZXJI6	bible	The refining pot is for silver, and the furnace for gold, but Yahweh tests the hearts.	hearts	0.2	1	65.30534362792969
708	391JB9X4ZY8CHAQBMTBXCP6PBXHMKO	bible	The foundations of the city's wall were adorned with all kinds of precious stones.	kinds	0.15789473684210525	1	28.355287551879883
1019	3B6F54KMR2CD94HUYG11JJ9WUG01SD	bible	"But, ""In Isaac will your seed be called."""	Isaac	0.19642857142857145	1	105.67955017089844
826	3T5ZXGO9DEOYRKNPENLOGDE7P51ZQG	bible	then beware lest you forget Yahweh, who brought you forth out of the land of Egypt, out of the house of bondage.	Egypt	0.171875	1	6.809402942657471
25	3DFYDSXB2W00JYP2DA272KN69UQJUK	bible	"For everyone who exalts himself will be humbled, and whoever humbles himself will be exalted."""	everyone	0.16666666666666669	1	10.51233196258545
963	3YLPJ8OXX8D2XK0CF8QQGPXRLFHX4Z	bible	There he built an altar to Yahweh and called on the name of Yahweh.	altar	0.1875	1	10.966983795166016
288	3SU800BH86SH5LTF80MGZLZSNNCUQC	bible	their meal offering and their drink offerings for the bull, for the ram, and for the lambs, shall be according to their number, after the ordinance:	lambs	0.09999999999999998	1	33.1259765625
861	3TZ0XG8CBUKDFP5GOVAPHYREGYM98Z	bible	When Yahweh raised them up judges, then Yahweh was with the judge, and saved them out of the hand of their enemies all the days of the judge: for it grieved Yahweh because of their groaning by reason of those who oppressed them and troubled them.	judges	0.175	1	17.682167053222656
62	3BC9H1KCYUC36R96UAIBUVNR7EAWYQ	bible	Solomon gathered chariots and horsemen: and he had one thousand four hundred chariots, and twelve thousand horsemen, that he placed in the chariot cities, and with the king at Jerusalem.	cities	0.09999999999999998	1	21.36040496826172
459	3EPG8DX9LKQFKU2L7MZJR4H2JCY5PJ	bible	At the noise of the stamping of the hoofs of his strong ones, at the rushing of his chariots, at the rumbling of his wheels, the fathers don't look back to their children for feebleness of hands;	hoofs	0.125	1	29.08203887939453
1061	3PKJ68EHDNWVECJIDBV8J5YGFMIJHD	bible	You shall not rule over him with harshness, but shall fear your God.	harshness	0.2	1	12.576869010925293
865	36U4VBVNQODHHM8FLFBG4B9XJBKURN	bible	You shall know also that your seed shall be great, Your offspring as the grass of the earth.	offspring	0.175	1	29.12833023071289
0	3ZLW647WALVGE8EBR50EGUBPU4P32A	bible	Behold, there came up out of the river seven cattle, sleek and fat, and they fed in the marsh grass.	river	0.0	1	29.98516273498535
587	3UEDKCTP9VQTW7JOIN98T79ZG8SK7H	bible	It happened at the end of twenty years, in which Solomon had built the two houses, the house of Yahweh and the king's house	houses	0.14285714285714285	1	23.76588249206543
467	3MJ28H2Y1E8XZUQKSMM424CC972O5L	bible	His left hand is under my head.	head	0.125	1	35.531734466552734
919	3ZRKL6Z1E83ADJ7XGZM4Q6D2W5ISG3	bible	Better is a handful, with quietness, than two handfuls with labor and chasing after wind.	handfuls	0.17857142857142855	1	247.0535125732422
585	367O8HRHKG8U13EDLYK3HHGZ6YA4SP	bible	For thus says Yahweh: Behold, he shall fly as an eagle, and shall spread out his wings against Moab.	eagle	0.14285714285714285	1	19.89805030822754
391	334ZEL5JX6FY5WOV4IZCVFM4NRASOR	bible	Behold, I will crush you in your place, as a cart crushes that is full of grain.	place	0.15625	1	32.099021911621094
907	33N1S8XHHMLAAG38T8V9FC6ZHTNZ1Z	bible	and they came up against Judah, and broke into it, and carried away all the substance that was found in the king's house, and his sons also, and his wives; so that there was never a son left him, except Jehoahaz, the youngest of his sons.	wives	0.2	1	18.261272430419922
653	3BFNCI9LYKQN09BHXHH9CLSX5M173O	bible	"Then Yahweh said to Moses, ""Behold, I will rain bread from the sky for you, and the people shall go out and gather a day's portion every day, that I may test them, whether they will walk in my law, or not."	sky	0.15625	1	11.439350128173828
