	id	corpus	sentence	token	complexity	class	ppl
218	3UUSLRKAUL3LI1DEQ6NLPUE9WZQD7S	bible	Haman recounted to them the glory of his riches, the multitude of his children, all the things in which the king had promoted him, and how he had advanced him above the princes and servants of the king.	servants	0.1764705882352941	1	258.68341064453125
877	3VDI8GSXAFTSUZSO21GZ9FD1KBC8GK	bible	"As they were making their hearts merry, behold, the men of the city, certain base fellows, surrounded the house, beating at the door; and they spoke to the master of the house, the old man, saying, ""Bring out the man who came into your house, that we may have sex with him!"""	hearts	0.19117647058823528	1	30893.3984375
415	344M16OZKIFFDSJ128FUR9IKWQ1EN2	bible	How much better it is to get wisdom than gold!	wisdom	0.14285714285714285	1	31947.67578125
309	39XCQ6V3KY47AOKGSQ0AL4QLO7856D	bible	The sun will be darkened in its going forth, and the moon will not cause its light to shine.	light	0.18181818181818185	1	1.0902647972106934
502	3S8APUMBJXJ5IXU0UTURIW3QR0XFBN	bible	being approved by good works, if she has brought up children, if she has been hospitable to strangers, if she has washed the saints' feet, if she has relieved the afflicted, and if she has diligently followed every good work.	strangers	0.13235294117647056	1	5.318273067474365
1010	39O6Z4JLX2X1RXJRZ4RDPFX4YZEVX9	bible	How long will you assault a man, would all of you throw him down, Like a leaning wall, like a tottering fence?	assault	0.1944444444444444	1	372880.6875
147	382GHPVPHSRQHMTYVJJ2998NEKB431	bible	which has come to you; even as it is in all the world and is bearing fruit and growing, as it does in you also, since the day you heard and knew the grace of God in truth;	truth	0.06944444444444442	1	56.26545715332031
375	3NKW03WTLM7UXPIK301HH9KP83GQW0	bible	I will cause them to eat the flesh of their sons and the flesh of their daughters; and they shall eat everyone the flesh of his friend, in the siege and in the distress, with which their enemies, and those who seek their life, shall distress them.	enemies	0.15384615384615385	1	1.9752815961837769
751	3ZQX1VYFTD5GMC9MQKT7EOM3BX8O8S	bible	Joshua tore his clothes, and fell to the earth on his face before the ark of Yahweh until the evening, he and the elders of Israel; and they put dust on their heads.	dust	0.16666666666666669	1	205.35494995117188
803	3DA79LNS59VAY78OAKKAHHKFUJS3TW	bible	"Blessed is the man whom the Lord will by no means charge with sin."""	means	0.16666666666666669	1	1.0087872743606567
961	3KVQ0UJWPXL543ZMJ8DEJYPYC96W5A	bible	"""'Moreover you shall take no ransom for the life of a murderer who is guilty of death; but he shall surely be put to death."	murderer	0.1875	1	13.7567720413208
2	3S1WOPCJFGTJU2SGNAN2Y213N6WJE3	bible	The man, the lord of the land, said to us, 'By this I will know that you are honest men: leave one of your brothers with me, and take grain for the famine of your houses, and go your way.	brothers	0.04999999999999999	1	47.1946907043457
854	3HXCEECSQMT70MEB5X2ITZH9OGEZYJ	bible	The Egyptians pursued after your fathers with chariots and with horsemen to the Red Sea .	chariots	0.175	1	28.33506965637207
516	3P6ENY9P79WZJ1ZCVTA874JG27UIH1	bible	You had now turned, and had done that which is right in my eyes, in proclaiming liberty every man to his neighbor; and you had made a covenant before me in the house which is called by my name:	neighbor	0.2	1	6.5484113693237305
101	3JGHED38EDROGC85M2AZ2FOAENW7YU	bible	There was nothing in the ark except the two tables which Moses put at Horeb, when Yahweh made a covenant with the children of Israel, when they came out of Egypt.	nothing	0.04999999999999999	1	42.35514831542969
256	3VMV5CHJZ8FBSJKC5ZRU0B9OYO2TGZ	bible	If any man thinks himself to be a prophet, or spiritual, let him recognize the things which I write to you, that they are the commandment of the Lord.	things	0.1388888888888889	1	180.77389526367188
702	3TX9T2ZCB913BHJBQWKU82WTD88WZB	bible	The flame burned up the wicked.	flame	0.15625	1	35680.953125
1079	3O2Y2UIUCQU6B0YU067KHZMGEU5KFB	bible	Enter into the rock, and hide in the dust, from before the terror of Yahweh, and from the glory of his majesty.	majesty	0.2	1	4.649867057800293
152	3IKMEYR0LWVMA6MICBSDXGSR5Q12KA	bible	"The next day, he saw Jesus coming to him, and said, ""Behold, the Lamb of God, who takes away the sin of the world!"	world	0.140625	1	2.3972344398498535
369	3YD0MU1NC21NKUA26WWJZT63BWT7AK	bible	For they came up with their livestock and their tents; they came in as locusts for multitude; both they and their camels were without number: and they came into the land to destroy it.	number	0.11363636363636365	1	10.158567428588867
311	3J6BHNX0U9SIZSBBYUQXP4VPGNXKNS	bible	God sent an angel to Jerusalem to destroy it.	angel	0.13333333333333336	1	1.2470927238464355
414	389A2A304OIXVY7G5B71Q9M43JI0CL	bible	The rod of correction gives wisdom, but a child left to himself causes shame to his mother.	wisdom	0.125	1	84.47134399414062
546	3OB6JN3A9QPY4E36CDKUD1S36PHMRN	bible	But we have this treasure in clay vessels, that the exceeding greatness of the power may be of God, and not from ourselves.	clay	0.16666666666666669	1	15486.193359375
895	36KM3FWE3RCRJHCKEUZQANUQ28R07S	bible	It binds me about as the collar of my coat.	coat	0.17857142857142855	1	15.62555980682373
602	3GMLHYZ0LEXQENK1ZA3AC72UMYZYUT	bible	Jehoshaphat bowed his head with his face to the ground; and all Judah and the inhabitants of Jerusalem fell down before Yahweh, worshipping Yahweh.	face	0.1527777777777778	1	33.388824462890625
494	36818Z1KV3D5JB9F4KTTMCUN6SVA32	bible	I also gathered silver and gold for myself, and the treasure of kings and of the provinces.	treasure	0.2	1	119.71138000488281
514	3M7OI89LVYOS99TV70NIZAWVGOZC6X	bible	The people will be oppressed, everyone by another, and everyone by his neighbor.	neighbor	0.13461538461538464	1	6.654201030731201
1028	3CZH926SICETRK9VK30YS0CK5714EO	bible	Your riches, and your wares, your merchandise, your mariners, and your pilots, your repairers of ship seams, and the dealers in your merchandise, and all your men of war, who are in you, with all your company which is in the midst of you, shall fall into the heart of the seas in the day of your ruin.	seas	0.2	1	431.54254150390625
