	id	corpus	sentence	token	complexity	class	ppl
0	3S37Y8CWI80N8KVM53U4E6JKCDC4WE	bible	but the seventh day is a Sabbath to Yahweh your God, in which you shall not do any work, you, nor your son, nor your daughter, nor your male servant, nor your female servant, nor your ox, nor your donkey, nor any of your livestock, nor your stranger who is within your gates; that your male servant and your female servant may rest as well as you.	seventh day	0.02777777777777779	1	2.5941808223724365
1	3WGCNLZJKF877FYC1Q6COKNWTDWD11	bible	But let each man test his own work, and then he will take pride in himself and not in his neighbor.	own work	0.04999999999999999	1	16.336688995361328
2	3UOMW19E6D6WQ5TH2HDD74IVKTP5CB	bible	To him who by understanding made the heavens; for his loving kindness endures forever:	loving kindness	0.04999999999999999	1	133.3008575439453
3	36JW4WBR06KF9AXMUL4N476OMF8FHD	bible	Remember to me, my God, this also, and spare me according to the greatness of your loving kindness.	loving kindness	0.04999999999999999	1	32.21330261230469
4	3HRWUH63QU2FH9Q8R7MRNFC7JX2N5A	bible	Because your loving kindness is better than life, my lips shall praise you.	loving kindness	0.07500000000000001	1	80.13848114013672
5	3TRB893CSJAOULN5SWOTVFH69RC7G2	bible	To him who led his people through the wilderness; for his loving kindness endures forever:	loving kindness	0.18333333333333326	1	43.823204040527344
6	3JUDR1D0D6R8L9KDPGCAT2404YYQ2Z	bible	Yahweh takes pleasure in those who fear him, in those who hope in his loving kindness.	loving kindness	0.2333333333333333	2	25.24483871459961
7	3RHLQY6EDT4OZEVVO8PEMIUZ5X6D4E	bible	Jahath was the chief, and Zizah the second: but Jeush and Beriah didn't have many sons; therefore they became a fathers' house in one reckoning.	many sons	0.04999999999999999	1	90.02021789550781
8	32XN26MTXZJQY21MIO00TSCRXUS0L1	bible	You see and hear, that not at Ephesus alone, but almost throughout all Asia, this Paul has persuaded and turned away many people, saying that they are no gods, that are made with hands.	many people	0.04999999999999999	1	29.052738189697266
9	3T8DUCXY0N6WD9X4RTLK8UN1UB89TP	bible	Then all the children of Israel returned, every man to his possession, into their own cities.	own cities	0.05555555555555558	1	16.198911666870117
10	3WJGKMRWVI9RUI8AHNVW5G6NXANDCR	bible	So on the next day, when Agrippa and Bernice had come with great pomp, and they had entered into the place of hearing with the commanding officers and principal men of the city, at the command of Festus, Paul was brought in.	next day	0.07500000000000001	1	24.316146850585938
11	3P4ZBJFX2V3X60SBPKQN5AGB13KFWC	bible	It happened in the six hundred first year, in the first month, the first day of the month, the waters were dried up from the earth.	first month	0.07500000000000001	1	19.7447566986084
12	3YO4AH2FPDK1PZHZAT8WAEBL70F0QQ	bible	Consider her palaces, that you may tell it to the next generation.	next generation	0.07500000000000001	1	69.7704849243164
13	3ZXNP4Z39RL4GD163NL987ME58Y7L8	bible	"Yahweh said to me, ""Take a large tablet, and write on it with a man's pen, 'For Maher Shalal Hash Baz; '"	large tablet	0.07500000000000001	1	56.53681564331055
14	3VMHWJRYHVGCV0X1ZPM97TUIA5QXFN	bible	"Send them away, that they may go into the surrounding country and villages, and buy themselves bread, for they have nothing to eat."""	surrounding country	0.08333333333333331	1	14.65392017364502
15	38VTL6WC4AD9T8UMY9V24VAENH6Y5B	bible	"Yahweh said to Abraham, ""Why did Sarah laugh, saying, 'Will I really bear a child, yet I am old?'"	Sarah laugh	0.09999999999999998	1	19.551124572753906
16	3ODOP6T3ASK1W4XFRJ5XQZ3V86G42V	bible	I have spread my couch with carpets of tapestry, with striped cloths of the yarn of Egypt.	striped cloths	0.09999999999999998	1	74.17538452148438
17	38Z7YZ2SB32CWUYFEJX2GIBHTUVIQ2	bible	For they indeed, for a few days, punished us as seemed good to them; but he for our profit, that we may be partakers of his holiness.	few days	0.1111111111111111	1	30.057649612426758
18	3J5XXLQDHMBPBZCDFFKPIZ80R4D3VH	bible	He set the Levites in the house of Yahweh with cymbals, with stringed instruments, and with harps, according to the commandment of David, and of Gad the king's seer, and Nathan the prophet; for the commandment was of Yahweh by his prophets.	stringed instruments	0.1111111111111111	1	20.07303810119629
19	37Y5RYYI0P5LZ52N59M8ESDXZVKXS6	bible	They came to Jerusalem with stringed instruments and harps and trumpets to the house of Yahweh.	stringed instruments	0.18333333333333326	1	16.84444808959961
20	38RHULDV9YFHGRU1QSW887T3HVCIW6	bible	On stringed instruments.	stringed instruments	0.25	2	234.33724975585938
21	304QEQWKZPKY4N4JVGGSL9GLSZX0OI	bible	<<For the Chief Musician; on stringed instruments.	stringed instruments	0.2666666666666667	2	175.94261169433594
22	36QZ6V1589DTI18S04BLULET5D3SU9	bible	Ezra the priest, with certain heads of fathers' households, after their fathers' houses, and all of them by their names, were set apart; and they sat down in the first day of the tenth month to examine the matter.	first day	0.11666666666666665	1	32.85936737060547
23	36BTXXLZ2V8I0OE069KYR7B3KYX4RB	bible	He has filled them with wisdom of heart, to work all kinds of workmanship, of the engraver, of the skillful workman, and of the embroiderer, in blue, in purple, in scarlet, and in fine linen, and of the weaver, even of those who do any workmanship, and of those who make skillful works.	skillful works	0.125	1	13.324009895324707
24	3FI30CQHVKJ9Z41PT0RNOQQDY3Z6BK	bible	Then Saul took three thousand chosen men out of all Israel, and went to seek David and his men on the rocks of the wild goats.	wild goats	0.125	1	43.127235412597656
25	34F34TZU7WZRZMG0UQS1W1SEQ36J21	bible	Ostriches will dwell there, and wild goats will frolic there.	wild goats	0.22058823529411764	2	29.231260299682617
26	3SCKNODZ0XGU4D4RF01OLZQ3A3XN7P	bible	or a man who has an injured foot, or an injured hand,	injured foot	0.13333333333333336	1	22.87915802001953
27	3UUSLRKAUL3LI1DEQ6NLPUE9WZWD7Y	bible	his body also was like the beryl, and his face as the appearance of lightning, and his eyes as flaming torches, and his arms and his feet like burnished brass, and the voice of his words like the voice of a multitude.	flaming torches	0.1388888888888889	1	15.120996475219727
28	35U0MRQMUJ7EXO5ZYD4H626BMV9VO4	bible	We would have healed Babylon, but she is not healed: forsake her, and let us go everyone into his own country; for her judgment reaches to heaven, and is lifted up even to the skies.	own country	0.14285714285714285	1	34.239959716796875
29	36818Z1KV3D5JB9F4KTTMCUN6UDA3O	bible	Therefore as the tongue of fire devours the stubble, and as the dry grass sinks down in the flame, so their root shall be as rottenness, and their blossom shall go up as dust; because they have rejected the law of Yahweh of Armies, and despised the word of the Holy One of Israel.	dry grass	0.15000000000000002	1	18.472963333129883
30	3WPCIUYH1A88GZAL39QMUQ6RLWMDT9	bible	They brought seven bulls, and seven rams, and seven lambs, and seven male goats, for a sin offering for the kingdom and for the sanctuary and for Judah.	male goats	0.15000000000000002	1	19.175199508666992
31	37VE3DA4YUHPWTL6PJIRLHF37HFBHQ	bible	and he appointed him priests for the high places, and for the male goats, and for the calves which he had made.	male goats	0.225	2	28.806255340576172
32	3YD0MU1NC21NKUA26WWJZT63BWZ7AQ	bible	The mouth of an adulteress is a deep pit: he who is under Yahweh's wrath will fall into it.	deep pit	0.15000000000000002	1	37.19202423095703
33	3VMHWJRYHVGCV0X1ZPM97TUIA5QFX5	bible	Having been made perfect, he became to all of those who obey him the author of eternal salvation,	eternal salvation	0.15000000000000002	1	41.515907287597656
34	3SD15I2WD2U4W9XCE7CH67S1ABN36R	bible	He seeks a skillful workman to set up an engraved image for him that will not be moved.	skillful workman	0.15000000000000002	1	63.11885452270508
35	367O8HRHKG8U13EDLYK3HHGZ60G4SZ	bible	They beat the gold into thin plates, and cut it into wires, to work it in the blue, in the purple, in the scarlet, and in the fine linen, the work of the skillful workman.	skillful workman	0.21666666666666667	2	23.990520477294922
36	3XUSYT70IT170QDU572CAF4MOLQ0DL	bible	He made it the work of a skillful workman.	skillful workman	0.2777777777777778	2	42.880897521972656
37	3PA41K45VN4U7YG4VFEGPOVYAIZ7P6	bible	The work of the skillful workman you shall make them.	skillful workman	0.2857142857142857	2	80.9497299194336
38	3URJ6VVYUPNF3BMKEH3UXC6Y9BD4O2	bible	He made the breastplate, the work of a skillful workman, like the work of the ephod; of gold, of blue, purple, scarlet, and fine twined linen.	skillful workman	0.3214285714285714	2	19.56353187561035
39	3HUR21WDDUPIVREW4FEXWE1YGGGXYK	bible	saying, 'Woe, woe, the great city, she who was dressed in fine linen, purple, and scarlet, and decked with gold and precious stones and pearls!	precious stones	0.15000000000000002	1	13.67014217376709
40	3DQYSJDTYLBKPMX54E23PB9IY4BXE5	bible	But everyone shall die for his own iniquity: every man who eats the sour grapes, his teeth shall be set on edge.	sour grapes	0.15000000000000002	1	21.170713424682617
41	3BFNCI9LYKQN09BHXHH9CLSX5M737Q	bible	What do you mean, that you use this proverb concerning the land of Israel, saying, The fathers have eaten sour grapes, and the children's teeth are set on edge?	sour grapes	0.2142857142857143	2	10.091641426086426
42	3L4YG5VW9NS1ZAEOHJQ7PMO5IAZDDR	bible	Have I brought them forth, that you should tell me, 'Carry them in your bosom, as a nurse carries a nursing infant, to the land which you swore to their fathers?'	nursing infant	0.15000000000000002	1	26.380006790161133
43	3I7SHAD35MWOMVJR3ZMO8K135DO7MA	bible	"But Yahweh said to Samuel, ""Don't look on his face, or on the height of his stature; because I have rejected him: for I see not as man sees; for man looks at the outward appearance, but Yahweh looks at the heart."""	outward appearance	0.15000000000000002	1	8.459610939025879
44	3QGHA0EA0J07TJGVKI4RMKPQM5SBWQ	bible	You shall tell them, 'This is the offering made by fire which you shall offer to Yahweh: male lambs a year old without blemish, two day by day, for a continual burnt offering.	male lambs	0.16176470588235292	1	17.02665138244629
